city_slug,name,category,type,subtypes,audiences,occasions,lat,lng,address,website,reservation_url,price_level,budget,indoor_outdoor,energy_level,family_friendly,nightlife_fit,duration_min,manual_boost,data_confidence,source_primary,import_batch,notes
berlin-berlin,American Bowl Berlin,activity,bowling_alley,"{bowling}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,medium,false,false,90,10,0.95,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,Berolina Bowling Lounge,activity,bowling_alley,"{bowling}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,medium,false,false,90,10,0.95,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,Big Bowl,activity,bowling_alley,"{bowling}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,medium,false,false,90,10,0.95,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,MACHmit! Museum für Kinder,culture,museum,"{children_museum,museum}","{family,tourism}","{family,tourism}",,,,,,2,medium,indoor,low,true,false,90,11,0.97,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,Science Center Spectrum,culture,museum,"{science_center,museum}","{family,tourism}","{family,tourism}",,,,,,2,medium,indoor,low,true,false,120,11,0.97,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,Boulderworx,activity,sports_centre,"{climbing}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,high,false,false,120,9,0.95,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,DAV Kletterzentrum Berlin,activity,sports_centre,"{climbing}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,high,false,false,120,9,0.95,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,Lasergame Berlin,activity,sports_centre,"{lasertag}","{friends}","{friends}",,,,,,2,medium,indoor,high,false,false,90,9,0.95,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,Laserstar,activity,sports_centre,"{lasertag}","{friends}","{friends}",,,,,,2,medium,indoor,high,false,false,90,9,0.95,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,Amano Dachterrasse,nightlife,bar,"{rooftop,rooftop_bar,cocktail_bar}","{date,friends,party,tourism}","{date,friends,party,tourism}",,,,,,3,high,mixed,medium,false,true,120,13,0.97,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,Einbildmalen,activity,gallery,"{workshop_painting}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,low,false,false,120,9,0.95,manual_seed,berlin_v1_shortlist,"reviewed_shortlist"
berlin-berlin,Kinderbauernhof Pinke-Panke,activity,attraction,"{farm_experience}","{family}","{family}",,,,,,1,low,outdoor,low,true,false,90,9,0.95,manual_seed,berlin_v1_shortlist,"reclassified_from_auto_candidate"
berlin-berlin,Kindermuseum unterm Dach,culture,museum,"{children_museum,museum}","{family,tourism}","{family,tourism}",,,,,,2,medium,indoor,low,true,false,90,10,0.96,manual_seed,berlin_v1_shortlist,"reclassified_from_auto_candidate"
berlin-berlin,World Map,activity,attraction,"{playground}","{family}","{family}",,,,,,0,free,outdoor,medium,true,false,45,8,0.90,manual_seed,berlin_v1_shortlist,"reclassified_from_auto_candidate"
berlin-berlin,Park am Gleisdreieck - Westpark,activity,park,"{park}","{date,family,friends,tourism}","{date,family,friends,tourism}",,,,,,0,free,outdoor,low,true,false,60,8,0.94,manual_seed,berlin_v1_shortlist,"reclassified_from_auto_candidate"
berlin-berlin,Amalienpark,activity,park,"{park}","{date,family,friends,tourism}","{date,family,friends,tourism}",,,,,,0,free,outdoor,low,true,false,60,8,0.94,manual_seed,berlin_v1_shortlist,"reclassified_from_auto_candidate"
hamburg-hamburg,Gilde Bowling 44,activity,bowling_alley,"{bowling}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,medium,false,false,90,10,0.95,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,U.S. FUN Bowling,activity,bowling_alley,"{bowling}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,medium,false,false,90,10,0.95,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,Boulderwelt Hamburg,activity,sports_centre,"{climbing}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,high,false,false,120,9,0.95,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,urban apes Boulderquartier Hamburg,activity,sports_centre,"{climbing}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,high,false,false,120,9,0.95,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,DAV Kletterzentrum,activity,sports_centre,"{climbing}","{date,friends}","{date,friends}",,,,,,2,medium,indoor,high,false,false,120,9,0.95,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,Lasertag Harburg,activity,sports_centre,"{lasertag}","{friends}","{friends}",,,,,,2,medium,indoor,high,false,false,90,9,0.95,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,Crazy Minigolf - Hammer Park,activity,miniature_golf,"{minigolf}","{date,friends,family}","{date,friends,family}",,,,,,1,low,mixed,medium,true,false,75,9,0.95,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,Minigolf by Café Blomen,activity,miniature_golf,"{minigolf}","{date,friends,family}","{date,friends,family}",,,,,,1,low,mixed,medium,true,false,75,9,0.95,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,miniGOLF Hamburg Horn,activity,miniature_golf,"{minigolf}","{date,friends,family}","{date,friends,family}",,,,,,1,low,mixed,medium,true,false,75,9,0.95,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,The Cloud One - Rooftop Bar,nightlife,bar,"{rooftop,rooftop_bar,cocktail_bar}","{date,friends,party,tourism}","{date,friends,party,tourism}",,,,,,3,high,mixed,medium,false,true,120,13,0.97,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,Rooftop Dune,nightlife,nightclub,"{rooftop,rooftop_bar,nightclub}","{date,friends,party,tourism}","{date,friends,party,tourism}",,,,,,3,high,mixed,high,false,true,150,13,0.96,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,Kinderspielplatz Kiefernberg,activity,park,"{playground}","{family}","{family}",,,,,,0,free,outdoor,medium,true,false,45,8,0.94,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,Spielplatz Silbersackstraße,activity,park,"{playground}","{family}","{family}",,,,,,0,free,outdoor,medium,true,false,45,8,0.94,manual_seed,hamburg_v1_shortlist,"reviewed_shortlist"
hamburg-hamburg,KL!CK Kindermuseum,culture,museum,"{children_museum,science_center,museum}","{family,tourism}","{family,tourism}",,,,,,2,medium,indoor,low,true,false,90,10,0.96,manual_seed,hamburg_v1_shortlist,"reclassified_from_auto_candidate"
hamburg-hamburg,Science Center Wald,culture,museum,"{science_center,museum}","{family,tourism}","{family,tourism}",,,,,,2,medium,indoor,low,true,false,120,10,0.95,manual_seed,hamburg_v1_shortlist,"reclassified_from_auto_candidate"
hamburg-hamburg,1910 e.V. Weinbar,nightlife,bar,"{cocktail_bar}","{date,friends,party}","{date,friends,party}",,,,,,2,medium,indoor,medium,false,true,120,8,0.92,manual_seed,hamburg_v1_shortlist,"reclassified_from_auto_candidate"
