city_slug,name,category,type,subtypes,audiences,occasions,lat,lng,address,website,reservation_url,price_level,budget,indoor_outdoor,energy_level,family_friendly,nightlife_fit,duration_min,manual_boost,data_confidence,source_primary,import_batch,notes,candidate_score
berlin-berlin,Tierpark-Tag,activity,zoo,{zoo},"{family,tourism}","{family,tourism}",52.5145,13.404,,,,,medium,outdoor,medium,true,false,150,14,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:zoo,20
berlin-berlin,Park am Gleisdreieck - Westpark,activity,park,{zoo},"{family,tourism}","{family,tourism}",52.4986448,13.3712757,,,https://gruen-berlin.de/parks-gaerten/park-am-gleisdreieck/,,medium,outdoor,medium,true,false,150,14,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:zoo,15
berlin-berlin,Amalienpark,activity,park,{zoo},"{family,tourism}","{family,tourism}",52.5726254,13.4137496,,,,,medium,outdoor,medium,true,false,150,14,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:zoo,15
berlin-berlin,Kinderbauernhof Pinke-Panke,activity,attraction,{aquarium},"{family,tourism}","{family,tourism}",52.5687773,13.3887408,,,http://www.kinderbauernhof-pinke-panke.de,,medium,indoor,low,true,false,120,13,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:aquarium,12
berlin-berlin,Kindermuseum unterm Dach,activity,museum,{aquarium},"{family,tourism}","{family,tourism}",52.3878178,13.3970516,,,https://www.kindermuseum-unterm-dach.berlin/,,medium,indoor,low,true,false,120,13,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:aquarium,12
berlin-berlin,Labyrinth Kindermuseum,activity,museum,{aquarium},"{family,tourism}","{family,tourism}",52.5561251,13.3860051,,,https://www.labyrinth-kindermuseum.de/,,medium,indoor,low,true,false,120,13,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:aquarium,12
berlin-berlin,World Map,activity,attraction,{playground},{family},{family},52.4323127,13.40819,,,,,medium,outdoor,medium,true,false,45,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:playground,24
berlin-berlin,Spielplatz Grüntaler End,activity,park,{playground},{family},{family},52.5578467,13.3959451,,,,,medium,outdoor,medium,true,false,45,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:playground,16
berlin-berlin,Carl-von-Ossietzky-Park,activity,park,{playground},{family},{family},52.5225109,13.3550107,,,,,medium,outdoor,medium,true,false,45,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:playground,15
berlin-berlin,MACHmit! Museum für Kinder,culture,museum,{children_museum},"{family,tourism}","{family,tourism}",52.5405294,13.4226724,,,https://www.machmitmuseum.de/,,medium,indoor,low,true,false,90,11,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:children_museum,20
